EID,Link,topic
2-s2.0-85044227204,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044227204&partnerID=40&md5=5d9da21137f34b56f943dd2b7a3b2489,
2-s2.0-85021083942,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021083942&doi=10.1007%2fs12602-017-9291-9&partnerID=40&md5=eb4c09a99ed8bb2561c6f434b065c655,
2-s2.0-85044504402,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044504402&doi=10.1007%2fs40091-018-0178-0&partnerID=40&md5=ac724af7d278336e1fa66ff78f25ac1a,
2-s2.0-85044145686,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044145686&partnerID=40&md5=d182d68655300f5e08f24193a1d36112,
2-s2.0-85040320729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040320729&doi=10.1016%2fj.atmosenv.2018.01.002&partnerID=40&md5=1976f2505111c7a5ebffe9d921c15853,
2-s2.0-85041087398,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041087398&doi=10.1109%2fMITS.2017.2776161&partnerID=40&md5=478cc4c1412f8fdbcb0fea850341127c,
2-s2.0-85043985517,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043985517&doi=10.1002%2fmmce.21198&partnerID=40&md5=50be7d2a41396a371dacb804321ba8d7,
2-s2.0-85021921584,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021921584&doi=10.1080%2f07388551.2017.1339664&partnerID=40&md5=bd34e1c534dc3f09defdd41833eb3055,
2-s2.0-85042791250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042791250&doi=10.1051%2fmatecconf%2f201815001016&partnerID=40&md5=f8cf89c5db53297c5af9fbc18ea0e1c5,
2-s2.0-85013498751,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013498751&doi=10.1007%2fs11042-017-4486-3&partnerID=40&md5=1ec9ffea94e507029a9fd6a04ce11117,
2-s2.0-84983479213,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983479213&doi=10.1007%2fs00521-016-2537-8&partnerID=40&md5=c404eb87bce8755ec1b119a4e9f6df0d,
2-s2.0-85042742485,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042742485&doi=10.1051%2fmatecconf%2f201815006019&partnerID=40&md5=837f06ce1b45770b856c4edaab64b910,
2-s2.0-85041943095,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041943095&doi=10.11113%2fjt.v80.10501&partnerID=40&md5=52d39003dbb9dd9e5ce9c3543dba76d5,
2-s2.0-85044126658,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044126658&doi=10.1177%2f0883911517720815&partnerID=40&md5=7c660c5da1c4fd21c1cb24009cfc62ca,
2-s2.0-85040640154,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040640154&doi=10.1016%2fj.jclepro.2017.11.254&partnerID=40&md5=5be54098e0650a30ec72332323b6fdf7,
2-s2.0-85037026766,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037026766&doi=10.1016%2fj.rinp.2017.11.033&partnerID=40&md5=b8ab464a2dda6396b5963039568cb8b3,
2-s2.0-85044399921,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044399921&doi=10.1166%2fjctn.2018.7202&partnerID=40&md5=96fb44a6d59f0dae32133ec20c3b822e,
2-s2.0-85033788846,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033788846&doi=10.1016%2fj.wasman.2017.11.019&partnerID=40&md5=120e6984c393cf9e9a83d774791567d3,
2-s2.0-85044842820,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044842820&doi=10.21595%2fjve.2017.18575&partnerID=40&md5=33c2d5e22ff5c09eac7a1acf10668bcb,
2-s2.0-85036458728,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036458728&doi=10.1016%2fj.cej.2017.11.111&partnerID=40&md5=641ee55c2355e124412f9a80b24d53d0,
2-s2.0-85044532177,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044532177&partnerID=40&md5=d02555990b87f3913f43c31fe6aaaa8f,
2-s2.0-85042739470,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042739470&doi=10.1051%2fmatecconf%2f201815006021&partnerID=40&md5=eae3a0ca99893253f8d17f2481bb2ebf,
2-s2.0-85031716389,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031716389&doi=10.1007%2fs00170-017-1190-4&partnerID=40&md5=8558c5fcc00327a40f953fab61a75d68,
2-s2.0-85042762809,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042762809&doi=10.1051%2fmatecconf%2f201815001008&partnerID=40&md5=a6b7a93ef5b72868ecb3955c6c108156,
2-s2.0-85040695773,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040695773&doi=10.1016%2fj.molliq.2018.01.042&partnerID=40&md5=cdc733d6f003a9fbbc5c8394e0ad6a0c,
2-s2.0-85044182509,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044182509&partnerID=40&md5=f7347481cc03d545d6032da040c86c0a,
2-s2.0-85035814065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035814065&doi=10.1016%2fj.fuel.2017.11.061&partnerID=40&md5=8c7764d152353b17bb261f2ee375ff99,
2-s2.0-85039929992,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039929992&doi=10.1061%2f%28ASCE%29GM.1943-5622.0001086&partnerID=40&md5=b35010523443877ff5cb7da0f4fd3d70,
2-s2.0-85034011842,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034011842&doi=10.1007%2fs12539-016-0180-9&partnerID=40&md5=85ff618e428a5af2a72fe601b6425f0e,
2-s2.0-85043602018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043602018&doi=10.1016%2fj.aej.2016.12.010&partnerID=40&md5=f85c7aee1c9a6e0b737ac399d7c5aa42,
2-s2.0-85042484024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042484024&doi=10.1016%2fj.icheatmasstransfer.2018.02.006&partnerID=40&md5=e5f48c8d42a4acea7e99ee1c53327064,
2-s2.0-85037337268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037337268&doi=10.1016%2fj.cej.2017.12.027&partnerID=40&md5=3acbbe489b62397e403391c262a6e18d,
2-s2.0-85042771805,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042771805&doi=10.1051%2fmatecconf%2f201815006025&partnerID=40&md5=286313be19f4ff48478b56c72dc0e625,
2-s2.0-85034837413,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034837413&doi=10.1016%2fj.foodres.2017.11.012&partnerID=40&md5=9496e941f5579a0cdf678b18653d997b,
