EID,Link,topic
2-s2.0-85040775835,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040775835&doi=10.1038%2fs41598-018-19375-1&partnerID=40&md5=a7d7430a8960d4dfbeb4cba816ebbbba,
2-s2.0-85015863353,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015863353&doi=10.1007%2fs00521-017-2939-2&partnerID=40&md5=301da71056973896939ad6215ec00f88,
2-s2.0-85060044328,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060044328&partnerID=40&md5=e1b3c4e50b25b39b9bc8cf5b80c01e9c,
2-s2.0-85060008648,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060008648&doi=10.1109%2fICOASE.2018.8548848&partnerID=40&md5=8c183b5dd925aed7e16b8b314a965d9e,
2-s2.0-85043688113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043688113&doi=10.1007%2fs13202-018-0451-6&partnerID=40&md5=fe9607e1d7ac7521bc9e79fb171a09c2,
2-s2.0-85073934237,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073934237&doi=10.1016%2fB978-0-12-813902-8.00010-1&partnerID=40&md5=2698fda7f29a837c965f00de7b1cf80d,
2-s2.0-85058045208,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058045208&doi=10.1108%2fBIJ-08-2017-0214&partnerID=40&md5=d7b8808661cc70d92402c210a4e25038,
2-s2.0-85059191980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059191980&doi=10.1051%2fe3sconf%2f20186506005&partnerID=40&md5=96939cb2399eb2834345962e58f8b8b4,
2-s2.0-85084708744,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084708744&doi=10.1016%2fB978-0-12-814503-6.09998-5&partnerID=40&md5=ac31a4127f82cc41f27f77920fb207ef,
2-s2.0-85059751401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059751401&doi=10.1109%2fICIAS.2018.8540611&partnerID=40&md5=dfad45de32a9cc00b9de689815b2f1f5,
2-s2.0-85067338163,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067338163&doi=10.1063%2f1.5066980&partnerID=40&md5=14a54c5298254accc04ce658d6e0d227,
2-s2.0-85059737638,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059737638&doi=10.1109%2fICIAS.2018.8540639&partnerID=40&md5=8debb5a107d0bedeb85a8174cb0dca93,
2-s2.0-85058335893,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058335893&doi=10.1051%2fe3sconf%2f20186801020&partnerID=40&md5=345cd791fd4fa32145cb58291b732c17,
2-s2.0-85057771661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057771661&doi=10.3390%2fsu10124527&partnerID=40&md5=2c1a4dbb30a2ce0bb2d5ebedf4cfc15d,
2-s2.0-85059747432,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059747432&doi=10.1109%2fICIAS.2018.8540634&partnerID=40&md5=cc5f69d93995c28e25951c0bcfe77e48,
2-s2.0-85059742382,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059742382&doi=10.1109%2fICIAS.2018.8540626&partnerID=40&md5=3ac1cf802ada0253d04fa8f2f72c5c74,
2-s2.0-85059198205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059198205&doi=10.1051%2fe3sconf%2f20186502002&partnerID=40&md5=1bfb32bb4099fc52285371b479a125f2,
2-s2.0-85059419361,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059419361&doi=10.1109%2fICCCE.2018.8539324&partnerID=40&md5=c3cb953859547df2bb1f33f874402e34,
2-s2.0-85081041417,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081041417&doi=10.1016%2fB978-0-12-814503-6.00003-3&partnerID=40&md5=e39e708a44b0e3757370b3b16803ba17,
2-s2.0-85059136918,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059136918&doi=10.1051%2fe3sconf%2f20186505023&partnerID=40&md5=adcf18598f00fe13b553ecac16689920,
2-s2.0-85064198422,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064198422&doi=10.1108%2fGKMC-08-2017-0065&partnerID=40&md5=ab22fc94eb85166338aeeb9def8d04c5,
2-s2.0-85057567546,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057567546&doi=10.1063%2f1.5080063&partnerID=40&md5=6cbe812d30e4b544ae5df2ca791784a9,
2-s2.0-85059140623,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059140623&doi=10.1051%2fe3sconf%2f20186502003&partnerID=40&md5=546b831738374c1d8a7a173912582ac6,
2-s2.0-85059197515,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059197515&doi=10.1051%2fe3sconf%2f20186508005&partnerID=40&md5=80bc0d0c0f1320ede9b1e1d9700e2667,
2-s2.0-85059733846,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059733846&doi=10.1109%2fICIAS.2018.8540570&partnerID=40&md5=52899d3c8d3317b08636c75f0c7b1b27,
2-s2.0-85072318636,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072318636&doi=10.1016%2fB978-0-12-813902-8.00012-5&partnerID=40&md5=b60f6285c35b3ff1277f18969a70f361,
2-s2.0-85042085391,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042085391&doi=10.1007%2fs10098-018-1498-2&partnerID=40&md5=a8645f8209aee7012b7ff0de2297e0a7,
2-s2.0-85057551070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057551070&doi=10.1063%2f1.5080059&partnerID=40&md5=b3f29705d3e53950d8b7479e9e170637,
2-s2.0-85057569972,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057569972&doi=10.1063%2f1.5080064&partnerID=40&md5=298b6632f9e2e8580172c08505033582,
2-s2.0-85044647445,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044647445&doi=10.1002%2fmbo3.615&partnerID=40&md5=0553c20760bb0c71abf9bfea3876c31c,
2-s2.0-85059200729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059200729&doi=10.1051%2fe3sconf%2f20186502006&partnerID=40&md5=17c71816bf55fb548a1762a7d6d30c67,
2-s2.0-85055848481,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055848481&doi=10.1109%2fICIAS.2018.8540609&partnerID=40&md5=fc6b177680c85045e7dd1a509cc3fe8f,
2-s2.0-85057562829,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057562829&doi=10.1063%2f1.5080060&partnerID=40&md5=5c2e96849d19874456b945fdbacb9340,
2-s2.0-85048274098,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048274098&doi=10.1007%2fs10811-018-1525-z&partnerID=40&md5=f99bb1ea31ba1b43fe49ce604d82a6bc,
2-s2.0-85059747454,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059747454&doi=10.1109%2fICIAS.2018.8540625&partnerID=40&md5=9e536c8cd96a0e22c347821b49af6e10,
2-s2.0-85060005920,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060005920&doi=10.1109%2fICOASE.2018.8548836&partnerID=40&md5=efd210b13936bf1a4b884cf284ff5557,
2-s2.0-85059766873,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059766873&doi=10.1109%2fICIAS.2018.8540632&partnerID=40&md5=a873f56cbb4d3bf0b5ad4aadae9cd890,
2-s2.0-85062802181,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062802181&doi=10.1145%2f3293663.3293665&partnerID=40&md5=72622c8fc8c058250ac4863f38488c34,
2-s2.0-85081041957,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081041957&doi=10.1016%2fB978-0-12-814503-6.00007-0&partnerID=40&md5=6006344286fdf680928bfc4a33b331a3,
2-s2.0-85040129388,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040129388&doi=10.1186%2fs13677-017-0102-3&partnerID=40&md5=d4a66b86913622fca3825dc62a26371f,
2-s2.0-85059184978,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059184978&doi=10.1051%2fe3sconf%2f20186508007&partnerID=40&md5=8f2ef48bfd9b0632561188de87dcc19c,
2-s2.0-85031913789,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031913789&doi=10.1007%2fs11482-017-9570-3&partnerID=40&md5=a872218dd920912f2dba875f2ccb0213,
2-s2.0-85059194825,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059194825&doi=10.1051%2fe3sconf%2f20186505006&partnerID=40&md5=87aad90863a818accdbc1961e224695c,
2-s2.0-85060006300,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060006300&partnerID=40&md5=e49435c2e574aa8819462e3f17e2b4cc,
2-s2.0-85081042373,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081042373&doi=10.1016%2fB978-0-12-814503-6.00002-1&partnerID=40&md5=1e0e1e4c4263a07c1fa88399781070c4,
2-s2.0-85059748054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059748054&doi=10.1109%2fICIAS.2018.8540619&partnerID=40&md5=69f94ec3a6c10f9a275617adc79efdc8,
