EID,Link,topic
2-s2.0-85048375731,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048375731&doi=10.1088%2f1742-6596%2f1027%2f1%2f012004&partnerID=40&md5=455a99ade01807424e806bccc2fb629e,
2-s2.0-85047837738,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047837738&doi=10.1088%2f1757-899X%2f348%2f1%2f012008&partnerID=40&md5=9cf7eb6839e007cc9c70d9b7e1f1da30,
2-s2.0-85048373710,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048373710&doi=10.1088%2f1742-6596%2f1027%2f1%2f012014&partnerID=40&md5=9f1c813df368f88566c76b5053bc435e,
2-s2.0-85047089183,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047089183&doi=10.1364%2fOE.26.012790&partnerID=40&md5=80423a2b5db17cd4375af5209c2d3b0e,
2-s2.0-85044784742,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044784742&doi=10.1109%2fLPT.2018.2822288&partnerID=40&md5=adbac5859a3a44f139b3e0574cfdaa73,
2-s2.0-85053059823,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053059823&doi=10.1016%2fj.petrol.2018.01.035&partnerID=40&md5=147c933436d7fd0fb78a098ae49f02bb,
2-s2.0-85048369765,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048369765&doi=10.1088%2f1742-6596%2f1027%2f1%2f012008&partnerID=40&md5=fe6d9cfd141248e71c699af8e13ca5b7,
2-s2.0-85028352769,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028352769&doi=10.1016%2fj.desal.2017.07.023&partnerID=40&md5=1ec5e664cf537011c3fce508c41fcc2e,
2-s2.0-85048374959,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048374959&doi=10.1088%2f1742-6596%2f1027%2f1%2f012002&partnerID=40&md5=b66f8a99a40227079b68432be51392c3,
2-s2.0-85056996009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056996009&doi=10.1016%2fj.ufug.2018.04.015&partnerID=40&md5=ecc10de40e836051d71fe7ee747e3d4c,
