EID,Link,topic
2-s2.0-85061436112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061436112&doi=10.3303%2fCET1972043&partnerID=40&md5=03a511f75cb9ef8cb2fdfc0f7f2d48f3,
2-s2.0-85061429028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061429028&doi=10.3303%2fCET1972013&partnerID=40&md5=1191d6b1bd9d8cd7cac2f9c2c45b2cc9,
2-s2.0-85060737970,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060737970&partnerID=40&md5=2767a907856a5a951e9188385299020c,
2-s2.0-85061447630,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061447630&doi=10.3303%2fCET1972042&partnerID=40&md5=c971726f2eb10b7cc326bd9401d73a8b,
2-s2.0-85061298671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061298671&doi=10.3303%2fCET1972011&partnerID=40&md5=5383420f2d04616d4e570f01dad53389,
2-s2.0-85061425979,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061425979&doi=10.3303%2fCET1972012&partnerID=40&md5=8f937d7cb41e94668f5a7c7f396f5b49,
2-s2.0-85061433357,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061433357&doi=10.3303%2fCET1972032&partnerID=40&md5=2ec288aa855d13071eac59101d6e5c9d,
2-s2.0-85061433231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061433231&doi=10.3303%2fCET1972031&partnerID=40&md5=4d7605bbd530b61569fddd20b6114ded,
2-s2.0-85062967319,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062967319&doi=10.1080%2f13102818.2019.1578184&partnerID=40&md5=7829a566513ef240c1bc5c19608cffb6,
2-s2.0-85061747165,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061747165&partnerID=40&md5=514d4f980db9cb53f2d0e48985041f3c,
2-s2.0-85061106933,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061106933&doi=10.1109%2fACCESS.2019.2891015&partnerID=40&md5=93cab53e60e5648a1b06d87568c84c7f,
2-s2.0-85061426448,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061426448&doi=10.3303%2fCET1972066&partnerID=40&md5=1cf303cf79efc82e51f8ff0a5d8d43ba,
2-s2.0-85061322758,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061322758&doi=10.3303%2fCET1972009&partnerID=40&md5=a19f0083afec24296c76157218af9c83,
2-s2.0-85062563840,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062563840&doi=10.12989%2fscs.2019.30.3.293&partnerID=40&md5=a8e672ab65303cb5bd1aea0fe82bb0a4,
2-s2.0-85061160575,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061160575&doi=10.1109%2fACCESS.2019.2890822&partnerID=40&md5=a4b9a5ab1e9890bd851784634af38458,
2-s2.0-85060557665,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060557665&doi=10.1109%2fACCESS.2018.2889494&partnerID=40&md5=a7c726199b30260ed0333fd639d13c0c,
2-s2.0-85061443854,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061443854&doi=10.3303%2fCET1972014&partnerID=40&md5=e0f81a49aad908d4ecdfebda27408b9b,
2-s2.0-85061432293,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061432293&doi=10.3303%2fCET1972073&partnerID=40&md5=498c6d63ce3f7a4e47f03e644a814ed9,
2-s2.0-85061457231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061457231&doi=10.3303%2fCET1972022&partnerID=40&md5=17336bef8883b2eac650567ce14f55f3,
2-s2.0-85061032776,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061032776&doi=10.1039%2fc8ra08143c&partnerID=40&md5=c9c74a3b1f3c58c2631f2346565df074,
2-s2.0-85062921283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062921283&doi=10.5958%2f0976-5506.2019.00231.6&partnerID=40&md5=f3921a14a082af1478e20f97b7ebc809,
2-s2.0-85061432213,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061432213&doi=10.3303%2fCET1972047&partnerID=40&md5=a3d2af7c440465fc82a6df8dba7cd544,
