EID,Link,topic
2-s2.0-85067270798,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067270798&doi=10.14419%2fijet.v7i2.31.13449&partnerID=40&md5=d97cdfd95b05348dbe04b1014fd6dc1d,
2-s2.0-85062473392,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062473392&partnerID=40&md5=dddbc31d8aca6ff75ba302ccf8511d8b,
2-s2.0-85067270795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067270795&doi=10.14419%2fijet.v7i3.25.17589&partnerID=40&md5=c13d219ca17da883da4e4d335cacfe49,
2-s2.0-85063374835,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063374835&doi=10.3233%2f978-1-61499-900-3-911&partnerID=40&md5=3ec67e60a2f89542fecb7ad216eb6e34,
2-s2.0-85064763199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064763199&partnerID=40&md5=f02a7cb35e5810f28fc2fb070386ca8f,
2-s2.0-85063371964,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063371964&doi=10.3233%2f978-1-61499-900-3-896&partnerID=40&md5=9c72d727ad676ea7143553e5d7e09813,
2-s2.0-85065708015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065708015&partnerID=40&md5=644ae1728b9154079b0db3c516ff1648,
2-s2.0-85063343824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063343824&doi=10.3991%2fijim.v12i7.9644&partnerID=40&md5=3ebd0caf9899a6d00a2d229006a2faea,
2-s2.0-85063587753,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063587753&partnerID=40&md5=6d85149e5bfcfa881094143e644d9fcf,
2-s2.0-85064969877,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064969877&partnerID=40&md5=8b9fda1a82e7e4fdbe9e95a39364715e,
