EID,Link,topic
2-s2.0-85051645340,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051645340&doi=10.1007%2fs12666-018-1383-z&partnerID=40&md5=a35861e1932f83852c67015af89992dc,
2-s2.0-85053151075,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053151075&doi=10.1016%2fj.jece.2018.08.073&partnerID=40&md5=05e527a3ac1974d0ff24aae09311562d,
2-s2.0-85052988265,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052988265&doi=10.1016%2fj.cep.2018.08.016&partnerID=40&md5=6cd9ae4aa202961ed8e41f219a66e7e2,
2-s2.0-85045319756,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045319756&doi=10.1177%2f1077546317733907&partnerID=40&md5=22b0e15c5a3a0c857759973cd5af9b9d,
2-s2.0-85017129404,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017129404&doi=10.1007%2fs11276-017-1502-5&partnerID=40&md5=e652e5db34618d68725a3d3886f1c05c,
2-s2.0-85055455938,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055455938&doi=10.1109%2fWEEF.2017.8467166&partnerID=40&md5=e4838cef8cf5b94d6d94568dbd2e9464,
2-s2.0-85007449332,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007449332&doi=10.1007%2fs00521-016-2796-4&partnerID=40&md5=aa7cb94bf2aa8b385c77c689032168b0,
2-s2.0-85044763305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044763305&doi=10.1007%2fs11227-018-2346-1&partnerID=40&md5=c3758adfa1219a8908cba17e0fec8dc3,
2-s2.0-85051632394,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051632394&doi=10.1016%2fj.robot.2018.07.007&partnerID=40&md5=5cccf0bc51a6d4f9ecc9bc9943c7c106,
2-s2.0-85053928396,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053928396&doi=10.1002%2fmop.31383&partnerID=40&md5=f58bdea43eb00a4694919886f4e1c1f1,
2-s2.0-85048405789,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048405789&doi=10.1016%2fj.memsci.2018.05.070&partnerID=40&md5=d1a68896ee69aeb790caa7615dc7685d,
2-s2.0-85056165405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056165405&doi=10.5194%2fisprs-archives-XLII-4-711-2018&partnerID=40&md5=4ef009d4d9e52d1c475d1e9fa5374ed7,
2-s2.0-85054499938,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054499938&doi=10.1063%2f1.5055505&partnerID=40&md5=241c88f8f297c12717fc0dd2f6b6ea74,
2-s2.0-85053271414,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053271414&doi=10.1007%2fs11356-018-3033-8&partnerID=40&md5=facb7751d337cbd4118ecb0e89306244,
2-s2.0-85055582470,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055582470&doi=10.1051%2fmatecconf%2f201820303003&partnerID=40&md5=1bd3acb9df655f0bb49300dea2c41f6b,
2-s2.0-85041507378,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041507378&doi=10.1109%2fTIE.2018.2802457&partnerID=40&md5=226018dfad4c1a6d99017603f454c012,
2-s2.0-85050270603,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050270603&doi=10.1007%2fs13369-018-3154-x&partnerID=40&md5=a11d884c30aac83f5116d12f98580a8b,
2-s2.0-85051287257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051287257&doi=10.1007%2fs12046-018-0924-9&partnerID=40&md5=f563835784cb5b20d2c6be8036c76706,
2-s2.0-85055589441,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055589441&doi=10.1051%2fmatecconf%2f201820301004&partnerID=40&md5=8d7e96a348c3bcb385e76cee05423746,
2-s2.0-85047881620,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047881620&doi=10.1166%2fjon.2018.1519&partnerID=40&md5=12bc596a3d08ba5584e1b1276e788b38,
2-s2.0-85054535948,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054535948&doi=10.1063%2f1.5055502&partnerID=40&md5=018ea0cdc99ed44331fe855c4f4280c4,
2-s2.0-85055484644,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055484644&doi=10.1051%2fmatecconf%2f201820306013&partnerID=40&md5=28cbb64a2fd088fcb3eeb9214dfdce9d,
2-s2.0-85055468336,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055468336&doi=10.1051%2fmatecconf%2f201820301021&partnerID=40&md5=afa654d75197f7ccc1570c06c37f8d67,
2-s2.0-85043710204,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043710204&doi=10.1007%2fs11042-018-5834-7&partnerID=40&md5=5def21a01e326ae8625db7824b54c3fb,
2-s2.0-85055555521,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055555521&doi=10.1051%2fmatecconf%2f201820306012&partnerID=40&md5=4b0641da5aa279b534b88af0bcfdc09f,
